Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
"World Economic Outlook, May 2001",Annual percent change,W524NGDP_R%,SRI LANKA,"Gross domestic product, constant prices",15.82,-0.06,7.83,3.52,3.95,4.69,4.44,3.82,6.2,6.08,5.44,5.8,5.1,5.05,5.1,5,4.36,1.5,2.7,2.3,6.2,4.6,4.3,6.9,5.6,5.5,3.8,6.45,4.7,4.3,6,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W361NGDP_R%,ST. KITTS AND NEVIS,"Gross domestic product, constant prices",5.88,6.4,4.67,3.93,5.66,2.7,5.95,6.05,2.19,7.49,1.28,5.09,6.24,-1.02,8.99,5.54,6.18,7.36,9.81,6.73,3.05,0.39,3.31,6.66,5.11,3.67,6.54,6.77,1.14,2.84,2.61,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W362NGDP_R%,ST. LUCIA,"Gross domestic product, constant prices",3.79,5.37,2.32,1.58,5.69,4.43,18.85,9,10.51,5.74,-0.51,4.78,2.15,4.24,6.66,9.07,14.87,1.94,12.16,9.07,4.07,2.34,7.06,2.04,2.15,4.1,1.4,2.11,2.88,3.15,4.07,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W364NGDP_R%,ST. VINCENT & GRENS.,"Gross domestic product, constant prices",3.78,5.37,2.3,1.77,5.85,5.22,10.35,3.49,11.14,4.68,3.43,5.15,7.45,6.26,4.98,5.83,7.19,6.29,8.91,6.52,7.31,1.52,5.92,2.29,-2,8.28,1.17,3.13,5.75,3.98,3.53,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W732NGDP_R%,SUDAN,"Gross domestic product, constant prices",-3.95,4.98,4.76,-7.08,12.53,6.48,15.75,5.68,-5.42,4.52,2.5,6.32,4.13,-1.51,-5.63,-0.62,9.93,6.46,4.36,1.42,0.96,7.02,-3.96,6.17,2.03,3.01,10.47,10.16,6.12,5.13,8.28,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W366NGDP_R%,SURINAME,"Gross domestic product, constant prices",5.88,6.4,4.67,3.93,-7.17,10.08,16.52,11.25,12.8,-1.08,-6.85,3.15,-6.17,-4.57,-2.35,-0.16,-1.72,-7.34,8.54,4.05,0.05,2.9,4,-9.5,-5.4,7.1,6.7,5.6,1.9,5,2.9,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W734NGDP_R%,SWAZILAND,"Gross domestic product, constant prices",5.88,6.4,4.67,3.93,5.66,2.7,5.95,3.94,13.19,-0.27,-6.26,14.62,1.15,1.15,6.24,3.76,12.35,14.63,6.6,9.14,8.92,2.44,1.28,3.26,3.46,3.04,3.58,4,2.72,3.1,3.49,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W144NGDP_R%,SWEDEN,"Gross domestic product, constant prices",6.47,0.94,2.29,3.97,3.2,-2.17,1.7,-2.82,0.09,4.22,8.44,-0.01,1,1.75,4.05,1.93,2.29,3.15,2.25,2.4,1.36,-1.12,-1.42,-2.22,4.12,3.69,1.08,2.07,3.58,4.13,3.6,2.6,2.84
"World Economic Outlook, May 2001",Annual percent change,W146NGDP_R%,SWITZERLAND,"Gross domestic product, constant prices",6.43,4.28,3.46,3.16,1.18,-6.71,-0.84,2.36,0.59,2.44,5.31,1.58,-1.44,0.51,3.03,3.42,1.63,0.74,3.11,4.34,3.74,-0.8,-0.13,-0.48,0.53,0.5,0.32,1.72,2.33,1.54,3.43,1.96,1.98
"World Economic Outlook, May 2001",Annual percent change,W463NGDP_R%,SYRIAN ARAB REPUBLIC,"Gross domestic product, constant prices",-5.91,10.98,21.58,-2.98,19.25,21.14,8.93,-1.4,8.3,3.6,12,9.5,2.1,1.4,-4.1,6.1,-4.9,1.9,13.3,-9,7.6,7.1,10.6,5,7.7,5.75,4.44,1.8,7.56,-1.75,2.52,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W528NGDP_R%,TAIWAN PROV.OF CHINA,"Gross domestic product, constant prices",11.33,12.77,13.25,12.87,1.16,4.93,13.86,10.19,13.59,8.17,7.3,6.16,3.55,8.45,10.6,4.95,11.64,12.74,7.84,8.23,5.39,7.55,7.49,6.55,7.58,6.42,6.1,6.68,4.57,5.42,5.98,4.1,5.6
