Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001
World Economic Outlook,Annual percent change,W692PCPI%,NIGER,Inflation,0.80,4.18,9.77,11.73,3.34,9.15,23.55,23.32,10.11,9.90,7.32,24.30,10.40,1.62,8.41,-1.07,-3.25,-6.64,0.60,-0.82,-2.03,-1.91,-1.72,-0.40,35.60,10.90,5.34,2.93,4.50,3.04,n.a.,n.a.
World Economic Outlook,Annual percent change,W694PCPI%,NIGERIA,Inflation,13.76,16.00,3.46,5.40,12.67,33.87,24.30,13.84,21.71,11.71,9.97,20.81,7.70,23.21,39.58,5.52,5.36,10.20,34.50,50.47,7.36,13.01,44.59,57.16,57.00,72.80,29.30,8.50,10.00,6.60,5.80,7.29
World Economic Outlook,Annual percent change,W142PCPI%,NORWAY,Inflation,10.57,6.26,7.22,7.44,9.41,11.71,9.18,9.04,8.15,4.76,10.90,13.64,11.37,8.41,6.28,5.67,7.19,8.73,6.70,4.56,4.11,3.42,2.34,2.27,1.40,2.46,1.26,2.58,2.26,2.33,2.30,2.00
World Economic Outlook,Annual percent change,W449PCPI%,OMAN,Inflation,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.40,9.28,10.01,6.40,2.54,-2.07,-7.36,-3.97,7.64,2.56,1.59,1.56,10.01,4.60,0.96,1.14,-0.66,-1.13,0.29,-0.80,-0.90,-0.30,n.a.,n.a.
World Economic Outlook,Annual percent change,W564PCPI%,PAKISTAN,Inflation,4.49,7.72,5.18,23.06,26.66,20.90,7.16,10.13,6.18,8.24,11.98,11.90,5.90,6.16,6.08,5.61,3.51,4.68,8.82,7.87,9.05,12.66,9.40,9.83,11.27,13.02,10.79,11.80,7.81,5.74,4.00,5.00
World Economic Outlook,Annual percent change,W283PCPI%,PANAMA,Inflation,3.13,1.92,5.41,6.86,16.27,5.88,3.95,4.59,4.20,7.99,13.81,7.30,4.25,2.10,1.58,1.03,-0.07,1.00,0.36,0.12,0.78,1.38,1.75,0.48,1.33,0.94,1.26,1.26,0.64,1.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W853PCPI%,PAPUA NEW GUINEA,Inflation,0.65,3.58,6.44,8.41,23.13,10.50,7.80,4.36,5.78,5.80,12.07,8.00,5.56,7.89,7.48,3.71,5.47,3.29,5.40,4.50,7.00,7.00,4.30,5.00,2.92,17.28,11.63,3.94,13.53,6.32,n.a.,n.a.
World Economic Outlook,Annual percent change,W288PCPI%,PARAGUAY,Inflation,-0.68,4.79,9.48,12.54,25.20,6.85,4.61,9.20,10.88,28.32,22.44,14.00,6.89,13.22,20.44,25.22,31.62,21.93,22.48,26.57,38.12,24.20,15.22,18.24,20.51,13.44,9.81,8.30,7.00,6.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W293PCPI%,PERU,Inflation,5.03,6.79,7.22,9.49,16.89,23.62,33.48,38.05,57.85,66.69,59.15,75.43,64.45,111.13,110.18,163.42,77.90,85.80,667.00,3398.68,7481.60,409.50,73.50,48.59,23.70,11.13,11.54,8.50,7.27,3.50,3.90,3.50
World Economic Outlook,Annual percent change,W566PCPI%,PHILIPPINES,Inflation,15.28,21.39,8.20,16.58,34.15,6.76,6.20,10.63,6.90,16.77,17.36,17.61,8.94,0.79,50.34,23.10,0.75,3.74,8.82,12.69,15.26,18.69,8.93,7.58,9.05,8.10,8.39,5.02,9.70,6.69,5.50,5.00
World Economic Outlook,Annual percent change,W964PCPI%,POLAND,Inflation,5.66,5.18,4.61,7.66,13.04,10.97,8.20,8.35,7.15,8.96,9.40,21.21,100.83,22.12,15.02,15.06,17.81,25.22,60.22,251.12,585.78,70.30,43.00,35.30,32.20,27.88,19.90,14.90,11.80,7.30,8.00,6.30
World Economic Outlook,Annual percent change,W182PCPI%,PORTUGAL,Inflation,3.91,4.34,5.45,6.95,12.68,12.77,9.20,7.07,4.47,4.47,7.81,19.90,22.67,25.08,29.29,19.39,11.62,9.49,9.51,11.60,13.40,11.40,8.90,6.50,5.20,4.10,3.10,2.20,2.80,2.20,2.14,1.90
World Economic Outlook,Annual percent change,W453PCPI%,QATAR,Inflation,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,10.03,6.01,6.84,8.46,5.70,2.70,1.14,1.13,1.90,4.49,4.82,3.30,4.55,2.91,2.99,-0.85,1.36,2.97,7.14,2.68,2.92,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W968PCPI%,ROMANIA,Inflation,0.60,0.60,0.00,0.70,1.09,0.20,0.50,0.60,2.00,1.86,1.52,2.20,16.93,4.69,-0.32,-0.20,0.70,1.10,2.60,0.90,127.90,161.12,210.39,256.11,136.74,32.27,38.81,154.76,59.10,45.80,39.00,20.00
World Economic Outlook,Annual percent change,W922PCPI%,RUSSIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,92.70,1734.73,874.66,307.38,197.43,47.57,14.68,27.66,85.89,20.48,15.88
World Economic Outlook,Annual percent change,W714PCPI%,RWANDA,Inflation,0.51,0.49,3.11,9.36,31.09,30.22,7.16,13.65,13.27,15.62,7.20,6.44,12.61,6.63,5.36,1.73,-1.10,4.15,2.91,1.04,4.20,19.60,9.50,12.50,64.00,22.00,8.90,11.69,6.84,-2.54,n.a.,n.a.
World Economic Outlook,Annual percent change,W862PCPI%,SAMOA,Inflation,3.00,4.63,7.70,12.00,24.92,8.79,4.90,14.61,2.06,11.12,33.05,20.51,18.30,16.46,11.86,-32.03,5.74,4.57,8.51,6.47,15.23,-1.82,9.03,1.71,12.09,-2.91,5.38,6.86,2.23,3.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W716PCPI%,SAO TOME & PRINCIPE,Inflation,4.32,5.65,5.53,9.97,18.43,29.70,10.90,7.39,10.33,5.48,0.22,11.48,0.40,7.00,3.20,0.10,13.90,25.00,44.28,42.89,42.25,46.48,33.70,25.50,51.16,36.80,42.05,69.05,42.11,16.33,n.a.,n.a.
World Economic Outlook,Annual percent change,W456PCPI%,SAUDI ARABIA,Inflation,0.18,4.50,4.30,16.51,21.41,34.62,31.55,11.39,11.21,1.17,4.38,2.77,1.02,0.18,-1.56,-3.08,-3.17,-1.59,0.91,1.00,2.08,4.56,-0.37,0.84,0.65,5.05,0.87,-0.43,-0.17,-1.20,1.08,1.94
World Economic Outlook,Annual percent change,W722PCPI%,SENEGAL,Inflation,2.79,3.92,6.11,11.27,16.60,31.67,1.09,11.33,3.47,9.62,8.70,5.78,17.38,11.71,11.74,13.04,6.12,-4.13,-1.82,0.45,0.32,-1.75,-0.11,-0.59,32.10,8.02,2.79,2.50,1.30,0.80,n.a.,n.a.
World Economic Outlook,Annual percent change,W718PCPI%,SEYCHELLES,Inflation,14.89,14.89,20.99,18.24,24.49,18.54,14.91,14.95,11.72,12.58,13.52,10.51,-0.85,6.03,4.06,0.80,0.30,2.58,1.84,1.52,3.93,2.03,3.25,1.28,1.85,-0.29,-1.08,0.61,1.00,1.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W724PCPI%,SIERRA LEONE,Inflation,6.40,-1.27,5.50,5.66,14.42,19.91,17.18,8.34,10.90,21.37,12.87,23.37,26.89,68.53,66.57,76.58,80.87,178.70,34.29,60.80,110.95,102.69,65.50,22.20,24.20,25.99,23.14,14.95,35.53,29.60,n.a.,n.a.
World Economic Outlook,Annual percent change,W576PCPI%,SINGAPORE,Inflation,0.36,1.69,2.29,19.51,22.45,2.64,-1.89,3.17,4.84,4.10,8.55,8.25,3.81,1.22,2.64,0.43,-1.39,0.52,1.52,2.35,3.46,3.43,2.28,2.24,3.14,1.71,1.38,2.00,-0.27,0.44,1.30,1.72
World Economic Outlook,Annual percent change,W936PCPI%,SLOVAK REPUBLIC,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10.00,23.00,13.41,9.89,5.80,6.10,6.70,10.70,n.a.,n.a.
World Economic Outlook,Annual percent change,W961PCPI%,SLOVENIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,207.30,31.90,21.50,13.50,9.90,8.40,8.00,6.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W813PCPI%,SOLOMON ISLANDS,Inflation,4.32,5.65,6.90,3.23,18.85,10.09,4.26,8.62,12.15,7.75,8.25,13.14,13.00,6.95,10.92,9.41,13.10,11.49,16.81,14.94,8.56,10.77,9.18,9.20,13.30,9.60,12.10,8.10,8.00,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W199PCPI%,SOUTH AFRICA,Inflation,5.59,6.53,9.50,11.60,13.52,11.24,11.13,10.19,13.08,13.78,13.84,15.44,15.12,12.12,11.26,16.60,18.40,16.13,12.88,14.77,14.42,15.16,13.91,9.74,8.99,8.58,7.40,8.57,6.86,5.22,4.67,5.91
